date,naive,perfect,perfect_nodis5,perfect_nochg5,perfect_nodis10,perfect_nochg10,perfect_nodis20,perfect_nochg20,naive_E10,perfect_E10,naive_E40,perfect_E40,naive_rte85,perfect_rte85,naive_rte92,perfect_rte92,realistic,realistic_nodis5,realistic_nochg5,realistic_nodis10,realistic_nochg10,realistic_nodis20,realistic_nochg20,realistic_E10,realistic_E40,realistic_rte85,realistic_rte92,persist,days
2025-01-01,32093.0,57455.0,56151.0,57455.0,53184.0,57455.0,43709.0,57455.0,15983.0,30521.0,55048.0,98697.0,29554.0,53902.0,35361.0,62043.0,,,,,,,,,,,,43978.0,31
2025-02-01,65748.0,84330.0,76886.0,84330.0,69647.0,84330.0,51573.0,84330.0,31623.0,45159.0,109879.0,142513.0,62901.0,80158.0,69428.0,89761.0,,,,,,,,,,,,75192.0,28
2025-03-01,55412.0,71133.0,65082.0,71133.0,55858.0,71133.0,37826.0,71133.0,26952.0,38032.0,95075.0,119532.0,53810.0,68907.0,57490.0,74054.0,,,,,,,,,,,,59630.0,31
2025-04-01,28533.0,64913.0,60276.0,64913.0,51284.0,64913.0,36979.0,64913.0,8292.0,34334.0,73363.0,109201.0,27808.0,63586.0,29481.0,66665.0,58740.0,54791.0,58740.0,44008.0,58742.0,32753.0,58843.0,30260.0,101840.0,57481.0,60299.0,59010.0,30
2025-05-01,18443.0,51437.0,49962.0,51437.0,43487.0,51437.0,27495.0,51437.0,5370.0,27576.0,57193.0,84269.0,18085.0,50537.0,18913.0,52606.0,48284.0,47263.0,48284.0,40235.0,48284.0,23575.0,48340.0,24312.0,80202.0,47363.0,49569.0,48293.0,31
2025-06-01,47399.0,81932.0,80641.0,81932.0,74307.0,81931.0,42701.0,81932.0,18738.0,42398.0,115829.0,145331.0,45936.0,79960.0,49302.0,84594.0,76781.0,75598.0,76780.0,69287.0,76766.0,37939.0,77224.0,38646.0,137268.0,75146.0,79592.0,77142.0,30
2025-07-01,32527.0,66494.0,65744.0,66494.0,61720.0,66494.0,35022.0,66480.0,11490.0,34376.0,85139.0,115919.0,31001.0,64238.0,34503.0,69651.0,60839.0,60863.0,60836.0,57046.0,60841.0,28891.0,60794.0,30969.0,108108.0,58781.0,63807.0,61104.0,31
2025-08-01,50480.0,72027.0,69626.0,72028.0,64002.0,72027.0,39769.0,72027.0,21000.0,37498.0,110040.0,129086.0,49026.0,69957.0,52370.0,74990.0,67752.0,66454.0,67752.0,60760.0,67752.0,35721.0,67752.0,35091.0,124624.0,65739.0,70391.0,67374.0,31
2025-09-01,58918.0,81479.0,74185.0,81479.0,64924.0,81479.0,42642.0,81479.0,24767.0,43482.0,122099.0,142939.0,57467.0,79214.0,60808.0,84575.0,76735.0,69327.0,76732.0,60521.0,76735.0,36749.0,76855.0,40377.0,136289.0,74825.0,79901.0,76219.0,30
2025-10-01,59409.0,80195.0,71345.0,80195.0,62900.0,80195.0,47449.0,80180.0,25565.0,43162.0,109982.0,138033.0,57489.0,77423.0,61900.0,83818.0,74432.0,65109.0,74431.0,57636.0,74547.0,42629.0,74531.0,38817.0,131306.0,71831.0,78140.0,71774.0,30
