,весь период,2025 (янв–дек),2026 (янв–сен 4),15-мин режим (окт 2025–сен 2026),период с прогнозом (с 2025-04-02)
naive,47732.0,43615.0,53783.0,51550.0,47404.0
perfect,73701.0,68123.0,81898.0,76771.0,74368.0
perfect_nodis5,70100.0,64327.0,78584.0,73150.0,71005.0
perfect_nochg5,73679.0,68123.0,81843.0,76730.0,74341.0
perfect_nodis10,63892.0,58205.0,72250.0,67308.0,64855.0
perfect_nochg10,73677.0,68123.0,81839.0,76727.0,74339.0
perfect_nodis20,42206.0,40549.0,44640.0,44312.0,41951.0
perfect_nochg20,73653.0,68121.0,81782.0,76684.0,74310.0
naive_E10,20128.0,18803.0,22075.0,21762.0,19455.0
perfect_E10,38951.0,36076.0,43175.0,40596.0,39234.0
naive_E40,98916.0,88358.0,114432.0,105181.0,101427.0
perfect_E40,129440.0,117757.0,146610.0,136710.0,131407.0
naive_rte85,46102.0,42013.0,52111.0,49849.0,45886.0
perfect_rte85,71388.0,65756.0,79665.0,74439.0,72213.0
naive_rte92,49846.0,45689.0,55956.0,53759.0,49376.0
perfect_rte92,76837.0,71271.0,85017.0,79966.0,77321.0
realistic,68915.0,61662.0,76971.0,71132.0,68915.0
realistic_nodis5,66122.0,58688.0,74379.0,68141.0,66122.0
realistic_nochg5,68922.0,61662.0,76984.0,71143.0,68922.0
realistic_nodis10,60129.0,52714.0,68365.0,62697.0,60129.0
realistic_nochg10,68931.0,61681.0,76983.0,71157.0,68931.0
realistic_nodis20,37124.0,34109.0,40474.0,39603.0,37124.0
realistic_nochg20,68981.0,61754.0,77007.0,71172.0,68981.0
realistic_E10,35312.0,31637.0,39393.0,36425.0,35312.0
realistic_E40,124980.0,109973.0,141647.0,130555.0,124980.0
realistic_rte85,66933.0,59723.0,74942.0,68963.0,66933.0
realistic_rte92,71720.0,64409.0,79840.0,74150.0,71720.0
persist,66385.0,60241.0,75365.0,69146.0,67625.0
